"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
24878,56,"CIV","Côte d'Ivoire",18,"Worodougou",47,"Séguéla",168,"Dualla","","","Sous-préfecture","Sub-prefecture"
24879,56,"CIV","Côte d'Ivoire",18,"Worodougou",47,"Séguéla",169,"Kani","","","Sous-préfecture","Sub-prefecture"
24880,56,"CIV","Côte d'Ivoire",18,"Worodougou",47,"Séguéla",170,"Massala","","","Sous-préfecture","Sub-prefecture"
24881,56,"CIV","Côte d'Ivoire",18,"Worodougou",47,"Séguéla",171,"Morondo","","","Sous-préfecture","Sub-prefecture"
24882,56,"CIV","Côte d'Ivoire",18,"Worodougou",47,"Séguéla",172,"Seguela","","","Sous-préfecture","Sub-prefecture"
24883,56,"CIV","Côte d'Ivoire",18,"Worodougou",47,"Séguéla",173,"Sifie","","","Sous-préfecture","Sub-prefecture"
24884,56,"CIV","Côte d'Ivoire",18,"Worodougou",47,"Séguéla",174,"Worofla","","","Sous-préfecture","Sub-prefecture"
24885,56,"CIV","Côte d'Ivoire",19,"Zanzan",48,"Bondoukou",175,"Bondoukou","","","Sous-préfecture","Sub-prefecture"
24886,56,"CIV","Côte d'Ivoire",19,"Zanzan",48,"Bondoukou",176,"Sandegue","","","Sous-préfecture","Sub-prefecture"
24887,56,"CIV","Côte d'Ivoire",19,"Zanzan",49,"Bouna",177,"Bouna","","","Sous-préfecture","Sub-prefecture"
24888,56,"CIV","Côte d'Ivoire",19,"Zanzan",49,"Bouna",178,"Dropo","","","Sous-préfecture","Sub-prefecture"
24889,56,"CIV","Côte d'Ivoire",19,"Zanzan",49,"Bouna",179,"Nassian","","","Sous-préfecture","Sub-prefecture"
24890,56,"CIV","Côte d'Ivoire",19,"Zanzan",49,"Bouna",180,"Tehini","","","Sous-préfecture","Sub-prefecture"
24891,56,"CIV","Côte d'Ivoire",19,"Zanzan",50,"Tanda",181,"Assuefry","","","Sous-préfecture","Sub-prefecture"
24892,56,"CIV","Côte d'Ivoire",19,"Zanzan",50,"Tanda",182,"Kouassi-Datekro","","","Sous-préfecture","Sub-prefecture"
24893,56,"CIV","Côte d'Ivoire",19,"Zanzan",50,"Tanda",183,"Koun-Fao","","","Sous-préfecture","Sub-prefecture"
24894,56,"CIV","Côte d'Ivoire",19,"Zanzan",50,"Tanda",184,"Tanda","","","Sous-préfecture","Sub-prefecture"
24895,56,"CIV","Côte d'Ivoire",19,"Zanzan",50,"Tanda",185,"Transua","","","Sous-préfecture","Sub-prefecture"
